NPC,PEF,PV_kWp,BESS_kWh
-100102.84721431938,404632217.2526265,1.0000000000046847,1.000000000010099
-100102.84721433088,404632217.25262654,1.0,1.000000000000009
-100102.84721433088,404632217.25262654,1.000000000000002,1.0
