NPC,PEF,PV_kWp,BESS_kWh
8287.749972174995,404467151.3303138,1.0000000000076106,153.16680014130424
-80448.58630745312,404467151.3303139,1.0000000000076106,1.0000000000006741
-80448.58630745312,404467151.3303139,1.0000000000076106,1.0000000000006741
-80448.58630745312,404467151.3303139,1.0000000000076106,1.0000000000006741
-80448.58630745312,404467151.3303139,1.0000000000076106,1.0000000000006741
-80448.58630745312,404467151.3303139,1.0000000000076106,1.0000000000006741
-80448.58630745312,404467151.3303139,1.0000000000076106,1.0000000000006741
-80448.58630745312,404467151.3303139,1.0000000000076106,1.0000000000006741
-80448.58630745312,404467151.3303139,1.0000000000076106,1.0000000000006741
-80448.58630745312,404467151.3303139,1.0000000000076106,1.0000000000006741
-80448.58630745312,404467151.3303139,1.0000000000076106,1.0000000000006741
-80448.58630745312,404467151.3303139,1.0000000000076106,1.0000000000006741
-80448.58630746265,404467151.330314,1.0000000000002207,1.0
